         8472894 function calls (8457698 primitive calls) in 465.529 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:251(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:256(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        2    0.000    0.000    0.077    0.039 __init__.py:3(<module>)
     3591    0.012    0.000    0.091    0.000 __init__.py:302(loads)
        1    0.000    0.000    0.000    0.000 __init__.py:311(CDLL)
        4    0.000    0.000    0.000    0.000 __init__.py:332(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:342(_FuncPtr)
        3    0.000    0.000    0.000    0.000 __init__.py:358(__getattr__)
       23    0.000    0.000    0.010    0.000 __init__.py:359(namedtuple)
        3    0.000    0.000    0.000    0.000 __init__.py:365(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:371(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:378(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:380(WinDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:384(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:389(HRESULT)
        1    0.000    0.000    0.000    0.000 __init__.py:393(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:402(OleDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:402(StringTemplateStyle)
        1    0.000    0.000    0.155    0.155 __init__.py:41(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:411(LibraryLoader)
        4    0.000    0.000    0.000    0.000 __init__.py:412(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:415(__getattr__)
      151    0.000    0.000    0.000    0.000 __init__.py:422(<genexpr>)
      151    0.000    0.000    0.000    0.000 __init__.py:424(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:426(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        1    0.000    0.000    0.000    0.000 __init__.py:470(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:476(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:477(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:49(check_compatibility)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
        1    0.000    0.000    0.024    0.024 __init__.py:55(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:599(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:641(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:678(Filterer)
       14    0.000    0.000    0.000    0.000 __init__.py:683(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:750(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:760(Handler)
        3    0.000    0.000    0.000    0.000 __init__.py:769(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:798(createLock)
        1    0.000    0.000    0.000    0.000 __init__.py:949(StreamHandler)
        1    0.000    0.000    0.004    0.004 __init__.py:97(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:99(CFunctionType)
        1    0.000    0.000    0.000    0.000 __version__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _collections.py:101(HTTPHeaderDict)
     4198    0.023    0.000    0.129    0.000 _collections.py:135(__init__)
    42021    0.035    0.000    0.045    0.000 _collections.py:150(__getitem__)
    29427    0.012    0.000    0.014    0.000 _collections.py:180(__iter__)
    29427    0.020    0.000    0.039    0.000 _collections.py:208(add)
     4198    0.027    0.000    0.094    0.000 _collections.py:224(extend)
        1    0.000    0.000    0.000    0.000 _collections.py:27(RecentlyUsedContainer)
        2    0.000    0.000    0.000    0.000 _collections.py:43(__init__)
     4198    0.009    0.000    0.020    0.000 _collections.py:50(__getitem__)
        1    0.000    0.000    0.000    0.000 _collections.py:57(__setitem__)
